unique_id,code,slug,caption,type,is_actual,publ_date,start_date,end_date,version,file
6528845,42947,zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-svetovnata-organizaciya-po-turiza,"ЗАКОН за ратифициране на Споразумението между правителството на Република България и Световната организация по туризъм (СОТ към ООН) за провеждане на 9-ата Глобална конференция за винен туризъм на СОТ",4,true,2025-08-01,2025-08-05,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-svetovnata-organizaciya-po-turiza.json
6584291,42948,zakon-za-ratificirane-na-tehnichesko-sporazumenie-otnosno-sazdavane-na-vremenna-ramka-za-osiguryavane-na-poddrazhka-ot-s,"ЗАКОН за ратифициране на Техническо споразумение относно създаване на временна рамка за осигуряване на поддръжка от страната домакин на Съюзните сили за реагиране (Allied Reaction Forces (ARF)",4,true,2025-09-19,2025-09-23,,,laws/zakon-za-ratificirane-na-tehnichesko-sporazumenie-otnosno-sazdavane-na-vremenna-ramka-za-osiguryavane-na-poddrazhka-ot-s.json
6584292,42949,zakon-za-ratificirane-na-pismata-za-izmenenie-na-aneksa-kam-sporazumenieto-mezhdu-republika-balgariya-i-varhovnoto-glavn,"ЗАКОН за ратифициране на писмата за изменение на Анекса към Споразумението между Република България и Върховното главно командване на Обединените въоръжени сили в Европа и Щаба на Върховния съюзен главнокомандващ по трансформацията за допълнение на Парижки",4,true,2025-09-19,2025-09-23,,,laws/zakon-za-ratificirane-na-pismata-za-izmenenie-na-aneksa-kam-sporazumenieto-mezhdu-republika-balgariya-i-varhovnoto-glavn.json
6717686,42970,zakon-za-ratificirane-na-spogodbata-mezhdu-republika-balgariya-i-republika-malta-za-izbyagvane-na-dvoynoto-danachno-obla,"ЗАКОН за ратифициране на Спогодбата между Репуб­лика България и Република Малта за избягване на двойното данъчно облагане по отношение на данъците върху доходите и имуществото и предотвратяване на отклонението и заобикалянето на данъчното облагане",4,true,2025-12-09,2025-12-13,,,laws/zakon-za-ratificirane-na-spogodbata-mezhdu-republika-balgariya-i-republika-malta-za-izbyagvane-na-dvoynoto-danachno-obla.json
6739812,42973,zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-obedinenoto-kra,"ЗАКОН за ратифициране на Споразумението между правителството на Република България и правителството на Обединеното кралство Великобритания и Северна Ирландия за прекратяване на Договора между правителството на Република България и правителството на Обедине",4,true,2025-12-19,2025-12-19,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-obedinenoto-kra.json
6739813,42974,zakon-za-ratificirane-na-sporazumenieto-mezhdu-republika-balgariya-i-organizaciyata-za-ikonomichesko-satrudnichestvo-i-r,"ЗАКОН за ратифициране на Споразумението между Република България и Организацията за икономическо сътрудничество и развитие относно привилегиите, имунитетите и улесненията, предоставени на Организацията",4,true,2025-12-19,2025-12-23,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-republika-balgariya-i-organizaciyata-za-ikonomichesko-satrudnichestvo-i-r.json
6741605,42977,zakon-za-sabiraneto-na-prihodi-i-izvarshvaneto-na-razhodi-prez-2026-g-do-priemaneto-na-zakona-za-darzhavniya-byudzhet-na,"ЗАКОН за събирането на приходи и извършването на разходи през 2026 г. до приемането на Закона за държавния бюджет на Република България за 2026 г., Закона за бюджета на държавното обществено осигуряване за 2026 г. и Закона за бюджета на Националната здравн",4,true,2026-03-27,2026-03-27,,,laws/zakon-za-sabiraneto-na-prihodi-i-izvarshvaneto-na-razhodi-prez-2026-g-do-priemaneto-na-zakona-za-darzhavniya-byudzhet-na.json
6810807,42979,zakon-za-obshtite-iziskvaniya-za-bezopasnost-pri-predostavyane-na-atrakcionni-uslugi-predstavlyavashti-iztochnik-na-povi,"ЗАКОН за общите изисквания за безопасност при предоставяне на атракционни услуги, представляващи източник на повишена опасност",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-obshtite-iziskvaniya-za-bezopasnost-pri-predostavyane-na-atrakcionni-uslugi-predstavlyavashti-iztochnik-na-povi.json
6810808,42980,zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-italianskata-re,"ЗАКОН за ратифициране на Споразумението между правителството на Република България и правителството на Италианската република за сътрудничество в областта на отбраната относно съвместното изграждане и използване на военни съоръжения на територията на войск",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-italianskata-re.json
6834268,42981,zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-republika-sever,"ЗАКОН за ратифициране на Споразумението между правителството на Република България и правителството на Република Северна Македония за подготовката, изграждането и екс­плоатацията на трансгранично железопътно тунелно съоръжение, подписано на 6 ноември 2025",4,true,2026-02-24,2026-02-28,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-pravitelstvoto-na-republika-sever.json
6834269,42982,zakon-za-ratificirane-na-sporazumenie-za-izmenenie-i-dopalnenie-na-ramkovoto-sporazumenie-mezhdu-pravitelstvoto-na-repub,"ЗАКОН за ратифициране на Споразумение за изменение и допълнение на Рамковото споразумение между правителството на Република България и Европейския инвестиционен фонд относно изпълнението на Инициативата JEREMIE в Република България (Четвърто споразумение з",4,true,2026-02-24,2026-02-28,,,laws/zakon-za-ratificirane-na-sporazumenie-za-izmenenie-i-dopalnenie-na-ramkovoto-sporazumenie-mezhdu-pravitelstvoto-na-repub.json
6842227,42984,zakon-za-ratificirane-na-mezhdunaroden-dogovor-letter-of-offer-and-acceptance-loa-bu-p-aal-pridobivane-na-mobilna-raketn,"ЗАКОН за ратифициране на Международен договор (Letter of Offer and Аcceptance – LOA) BU-P-AAL ""Придобиване на мобилна ракетна (NSM) система за брегова отбрана (CDS) и свързаните с нея оборудване, резервни части, обучение и свързаната с тях поддръжка"" и на",4,true,2026-02-27,2026-03-03,,,laws/zakon-za-ratificirane-na-mezhdunaroden-dogovor-letter-of-offer-and-acceptance-loa-bu-p-aal-pridobivane-na-mobilna-raketn.json
6858971,42986,zakon-za-ratificirane-na-sporazumenieto-za-partnyorstvo-mezhdu-evropeyskiya-sayuz-i-negovite-darzhavi-chlenki-ot-edna-st,"ЗАКОН за ратифициране на Споразумението за партньорство между Европейския съюз и неговите държави членки, от една страна, и членовете на Организацията на държавите от Африка, Карибите и Тихоокеанския басейн, от друга страна, подписано в Самоа на 15 ноември",4,true,2026-03-10,2026-03-10,,,laws/zakon-za-ratificirane-na-sporazumenieto-za-partnyorstvo-mezhdu-evropeyskiya-sayuz-i-negovite-darzhavi-chlenki-ot-edna-st.json
6884775,42988,zakon-za-prozrachnost-pri-predstavitelstvo-na-interesi,"ЗАКОН за прозрачност при представителство на интереси",4,true,2026-03-27,2026-03-31,,,laws/zakon-za-prozrachnost-pri-predstavitelstvo-na-interesi.json
6896714,42989,zakon-za-obshtestveniya-transport,"ЗАКОН за обществения транспорт",4,true,2026-04-01,2026-04-16,,,laws/zakon-za-obshtestveniya-transport.json
